,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
52,豐原區,房地(土地+建物),臺中市豐原區中正路695巷1~30號,10.04,住,0,0,1081230,土地1建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820208,98.47999999999999,3,2,2,有,有,3600000,36556,0,0.0,0,0,RPPOMLKMJHPFFDB57CA
53,西屯區,房地(土地+建物)+車位,臺中市西屯區東興路三段301~330號,14.98,住,0,0,1090104,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900713,202.43,4,2,2,有,有,15300000,75582,坡道平面,14.97,0,含增建或未登記建物。;,RPSOMLRLKHPFFCB48CA
54,西屯區,房地(土地+建物),臺中市西屯區中工二路91~120號,11.58,住,0,0,1081231,土地1建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830705,98.22,2,2,2,有,有,5200000,52942,0,0.0,0,0,RPQNMLMJLHPFFCB57CA
55,西屯區,房地(土地+建物)+車位,臺中市西屯區西苑一街61~90號,30.01,住,0,0,1081231,土地2建物1車位2,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031215,279.19,3,2,1,有,有,22000000,78799,坡道平面,68.22,0,0,RPSPMLNKKHPFFCB08CA
56,西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,13.73,住,0,0,1081214,土地1建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801211,134.28,3,2,2,有,有,7680000,57194,坡道機械,0.0,0,含增建或未登記建物。,RPPNMLSJKHPFFCB97CA
57,西屯區,房地(土地+建物)+車位,臺中市西屯區逢大路61~90號,39.7,住,0,0,1081229,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940704,189.60000000000002,3,2,2,有,有,9100000,47996,坡道平面,0.0,0,0,RPRNMLLMJHPFFCB67CA
58,北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽西街61~90號,11.6,住,0,0,1090102,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010814,114.75,2,2,1,有,有,7900000,68845,坡道機械,12.56,0,0,RPWQMLOKKHPFFBB58CA
59,東區,房地(土地+建物),臺中市東區旱溪東路一段1~30號,16.34,住,0,0,1081230,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810825,134.01,3,2,2,有,無,5250000,39176,0,0.0,0,0,RPVOMLOJKHPFFAB08CA
60,南區,房地(土地+建物)+車位,臺中市南區德富路121~150號,11.28,其他,0,0,1090110,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890518,144.07,3,2,2,有,有,8600000,59693,坡道平面,26.63,0,0,RPQOMLNJKHPFFAB47CA
61,鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍子里大順一路601~630號,18.08,商,0,0,1081221,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020409,277.34000000000003,3,2,2,有,有,20700000,74638,坡道平面,26.77,0,0,RPTOMLQJKHPFFAE38CA
62,苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.16,商,0,0,1081231,土地1建物1車位0,十層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,120.61,3,2,2,有,有,4200000,34823,0,0.0,0,0,RPSOMLKKKHPFFBE87CA
